Store_id,Product_id,Forecast_Frequency,Date,Sales,Type,Forecast_Method
S008,P008,weekly,2017-11-20,800.0,Actual,Actual Sales
S008,P008,weekly,2017-11-27,661.0,Actual,Actual Sales
S008,P008,weekly,2017-12-04,534.0,Actual,Actual Sales
S008,P008,weekly,2017-12-11,603.0,Actual,Actual Sales
S008,P008,weekly,2017-12-18,558.0,Actual,Actual Sales
S008,P008,weekly,2017-12-25,532.0,Actual,Actual Sales
S008,P008,weekly,2018-01-01,593.7,Forecast,Enhanced Ensemble
S008,P008,weekly,2018-01-08,585.1,Forecast,Enhanced Ensemble
S008,P008,weekly,2018-01-15,588.95,Forecast,Enhanced Ensemble
S008,P008,weekly,2018-01-22,598.03,Forecast,Enhanced Ensemble
S008,P008,weekly,2018-01-29,605.15,Forecast,Enhanced Ensemble
S008,P008,weekly,2018-02-05,610.14,Forecast,Enhanced Ensemble
S008,P008,weekly,2018-02-12,604.26,Forecast,Enhanced Ensemble
S008,P008,weekly,2018-02-19,621.94,Forecast,Enhanced Ensemble
S008,P009,weekly,2017-07-03,648.0,Actual,Actual Sales
S008,P009,weekly,2017-07-10,638.0,Actual,Actual Sales
S008,P009,weekly,2017-07-17,581.0,Actual,Actual Sales
S008,P009,weekly,2017-07-24,637.0,Actual,Actual Sales
S008,P009,weekly,2017-07-31,586.0,Actual,Actual Sales
S008,P009,weekly,2017-08-07,549.0,Actual,Actual Sales
S008,P009,weekly,2017-08-14,578.0,Actual,Actual Sales
S008,P009,weekly,2017-08-21,628.0,Actual,Actual Sales
S008,P009,weekly,2017-08-28,558.0,Actual,Actual Sales
S008,P009,weekly,2017-09-04,538.0,Actual,Actual Sales
S008,P009,weekly,2017-09-11,514.0,Actual,Actual Sales
S008,P009,weekly,2017-09-18,506.0,Actual,Actual Sales
S008,P009,weekly,2017-09-25,482.0,Actual,Actual Sales
S008,P009,weekly,2017-10-02,483.0,Actual,Actual Sales
S008,P009,weekly,2017-10-09,482.0,Actual,Actual Sales
S008,P009,weekly,2017-10-16,493.0,Actual,Actual Sales
S008,P009,weekly,2017-10-23,460.0,Actual,Actual Sales
S008,P009,weekly,2017-10-30,502.0,Actual,Actual Sales
S008,P009,weekly,2017-11-06,561.0,Actual,Actual Sales
S008,P009,weekly,2017-11-13,554.0,Actual,Actual Sales
S008,P009,weekly,2017-11-20,535.0,Actual,Actual Sales
S008,P009,weekly,2017-11-27,465.0,Actual,Actual Sales
S008,P009,weekly,2017-12-04,373.0,Actual,Actual Sales
S008,P009,weekly,2017-12-11,365.0,Actual,Actual Sales
S008,P009,weekly,2017-12-18,376.0,Actual,Actual Sales
S008,P009,weekly,2017-12-25,402.0,Actual,Actual Sales
S008,P009,weekly,2018-01-01,404.43,Forecast,Enhanced Ensemble
S008,P009,weekly,2018-01-08,403.25,Forecast,Enhanced Ensemble
S008,P009,weekly,2018-01-15,411.95,Forecast,Enhanced Ensemble
S008,P009,weekly,2018-01-22,413.69,Forecast,Enhanced Ensemble
S008,P009,weekly,2018-01-29,411.29,Forecast,Enhanced Ensemble
S008,P009,weekly,2018-02-05,425.52,Forecast,Enhanced Ensemble
S008,P009,weekly,2018-02-12,423.99,Forecast,Enhanced Ensemble
S008,P009,weekly,2018-02-19,421.74,Forecast,Enhanced Ensemble
S008,P010,weekly,2017-07-03,896.0,Actual,Actual Sales
S008,P010,weekly,2017-07-10,865.0,Actual,Actual Sales
S008,P010,weekly,2017-07-17,902.0,Actual,Actual Sales
S008,P010,weekly,2017-07-24,888.0,Actual,Actual Sales
S008,P010,weekly,2017-07-31,803.0,Actual,Actual Sales
S008,P010,weekly,2017-08-07,845.0,Actual,Actual Sales
S008,P010,weekly,2017-08-14,819.0,Actual,Actual Sales
S008,P010,weekly,2017-08-21,787.0,Actual,Actual Sales
S008,P010,weekly,2017-08-28,794.0,Actual,Actual Sales
S008,P010,weekly,2017-09-04,759.0,Actual,Actual Sales
S008,P010,weekly,2017-09-11,713.0,Actual,Actual Sales
S008,P010,weekly,2017-09-18,712.0,Actual,Actual Sales
S008,P010,weekly,2017-09-25,745.0,Actual,Actual Sales
S008,P010,weekly,2017-10-02,684.0,Actual,Actual Sales
S008,P010,weekly,2017-10-09,749.0,Actual,Actual Sales
S008,P010,weekly,2017-10-16,730.0,Actual,Actual Sales
S008,P010,weekly,2017-10-23,735.0,Actual,Actual Sales
S008,P010,weekly,2017-10-30,718.0,Actual,Actual Sales
S008,P010,weekly,2017-11-06,788.0,Actual,Actual Sales
S008,P010,weekly,2017-11-13,739.0,Actual,Actual Sales
S008,P010,weekly,2017-11-20,709.0,Actual,Actual Sales
S008,P010,weekly,2017-11-27,663.0,Actual,Actual Sales
S008,P010,weekly,2017-12-04,535.0,Actual,Actual Sales
S008,P010,weekly,2017-12-11,513.0,Actual,Actual Sales
S008,P010,weekly,2017-12-18,532.0,Actual,Actual Sales
S008,P010,weekly,2017-12-25,515.0,Actual,Actual Sales
S008,P010,weekly,2018-01-01,558.1,Forecast,Enhanced Ensemble
S008,P010,weekly,2018-01-08,556.11,Forecast,Enhanced Ensemble
S008,P010,weekly,2018-01-15,559.05,Forecast,Enhanced Ensemble
S008,P010,weekly,2018-01-22,555.96,Forecast,Enhanced Ensemble
S008,P010,weekly,2018-01-29,566.79,Forecast,Enhanced Ensemble
S008,P010,weekly,2018-02-05,585.03,Forecast,Enhanced Ensemble
S008,P010,weekly,2018-02-12,585.45,Forecast,Enhanced Ensemble
S008,P010,weekly,2018-02-19,582.0,Forecast,Enhanced Ensemble
S009,P001,weekly,2017-07-03,237.0,Actual,Actual Sales
S009,P001,weekly,2017-07-10,256.0,Actual,Actual Sales
S009,P001,weekly,2017-07-17,232.0,Actual,Actual Sales
S009,P001,weekly,2017-07-24,245.0,Actual,Actual Sales
S009,P001,weekly,2017-07-31,203.0,Actual,Actual Sales
S009,P001,weekly,2017-08-07,220.0,Actual,Actual Sales
S009,P001,weekly,2017-08-14,221.0,Actual,Actual Sales
S009,P001,weekly,2017-08-21,213.0,Actual,Actual Sales
S009,P001,weekly,2017-08-28,206.0,Actual,Actual Sales
S009,P001,weekly,2017-09-04,211.0,Actual,Actual Sales
S009,P001,weekly,2017-09-11,192.0,Actual,Actual Sales
S009,P001,weekly,2017-09-18,191.0,Actual,Actual Sales
S009,P001,weekly,2017-09-25,191.0,Actual,Actual Sales
S009,P001,weekly,2017-10-02,193.0,Actual,Actual Sales
S009,P001,weekly,2017-10-09,196.0,Actual,Actual Sales
S009,P001,weekly,2017-10-16,171.0,Actual,Actual Sales
S009,P001,weekly,2017-10-23,170.0,Actual,Actual Sales
S009,P001,weekly,2017-10-30,171.0,Actual,Actual Sales
S009,P001,weekly,2017-11-06,177.0,Actual,Actual Sales
S009,P001,weekly,2017-11-13,180.0,Actual,Actual Sales
S009,P001,weekly,2017-11-20,190.0,Actual,Actual Sales
S009,P001,weekly,2017-11-27,167.0,Actual,Actual Sales
S009,P001,weekly,2017-12-04,128.0,Actual,Actual Sales
S009,P001,weekly,2017-12-11,126.0,Actual,Actual Sales
S009,P001,weekly,2017-12-18,144.0,Actual,Actual Sales
S009,P001,weekly,2017-12-25,132.0,Actual,Actual Sales
S009,P001,weekly,2018-01-01,145.18,Forecast,Enhanced Ensemble
S009,P001,weekly,2018-01-08,146.86,Forecast,Enhanced Ensemble
S009,P001,weekly,2018-01-15,144.84,Forecast,Enhanced Ensemble
S009,P001,weekly,2018-01-22,144.84,Forecast,Enhanced Ensemble
S009,P001,weekly,2018-01-29,145.44,Forecast,Enhanced Ensemble
S009,P001,weekly,2018-02-05,148.09,Forecast,Enhanced Ensemble
S009,P001,weekly,2018-02-12,153.31,Forecast,Enhanced Ensemble
S009,P001,weekly,2018-02-19,153.39,Forecast,Enhanced Ensemble
S009,P002,weekly,2017-07-03,581.0,Actual,Actual Sales
S009,P002,weekly,2017-07-10,612.0,Actual,Actual Sales
S009,P002,weekly,2017-07-17,625.0,Actual,Actual Sales
S009,P002,weekly,2017-07-24,573.0,Actual,Actual Sales
S009,P002,weekly,2017-07-31,543.0,Actual,Actual Sales
S009,P002,weekly,2017-08-07,546.0,Actual,Actual Sales
S009,P002,weekly,2017-08-14,516.0,Actual,Actual Sales
S009,P002,weekly,2017-08-21,547.0,Actual,Actual Sales
S009,P002,weekly,2017-08-28,488.0,Actual,Actual Sales
S009,P002,weekly,2017-09-04,516.0,Actual,Actual Sales
S009,P002,weekly,2017-09-11,527.0,Actual,Actual Sales
S009,P002,weekly,2017-09-18,554.0,Actual,Actual Sales
S009,P002,weekly,2017-09-25,503.0,Actual,Actual Sales
S009,P002,weekly,2017-10-02,498.0,Actual,Actual Sales
S009,P002,weekly,2017-10-09,476.0,Actual,Actual Sales
S009,P002,weekly,2017-10-16,513.0,Actual,Actual Sales
S009,P002,weekly,2017-10-23,474.0,Actual,Actual Sales
S009,P002,weekly,2017-10-30,519.0,Actual,Actual Sales
S009,P002,weekly,2017-11-06,500.0,Actual,Actual Sales
S009,P002,weekly,2017-11-13,535.0,Actual,Actual Sales
S009,P002,weekly,2017-11-20,516.0,Actual,Actual Sales
S009,P002,weekly,2017-11-27,426.0,Actual,Actual Sales
S009,P002,weekly,2017-12-04,397.0,Actual,Actual Sales
S009,P002,weekly,2017-12-11,347.0,Actual,Actual Sales
S009,P002,weekly,2017-12-18,359.0,Actual,Actual Sales
S009,P002,weekly,2017-12-25,386.0,Actual,Actual Sales
S009,P002,weekly,2018-01-01,389.54,Forecast,Enhanced Ensemble
S009,P002,weekly,2018-01-08,394.48,Forecast,Enhanced Ensemble
S009,P002,weekly,2018-01-15,389.53,Forecast,Enhanced Ensemble
S009,P002,weekly,2018-01-22,392.38,Forecast,Enhanced Ensemble
S009,P002,weekly,2018-01-29,399.75,Forecast,Enhanced Ensemble
S009,P002,weekly,2018-02-05,401.44,Forecast,Enhanced Ensemble
S009,P002,weekly,2018-02-12,408.59,Forecast,Enhanced Ensemble
S009,P002,weekly,2018-02-19,409.43,Forecast,Enhanced Ensemble
S009,P003,weekly,2017-07-03,386.0,Actual,Actual Sales
S009,P003,weekly,2017-07-10,390.0,Actual,Actual Sales
S009,P003,weekly,2017-07-17,362.0,Actual,Actual Sales
S009,P003,weekly,2017-07-24,399.0,Actual,Actual Sales
S009,P003,weekly,2017-07-31,355.0,Actual,Actual Sales
S009,P003,weekly,2017-08-07,303.0,Actual,Actual Sales
S009,P003,weekly,2017-08-14,360.0,Actual,Actual Sales
S009,P003,weekly,2017-08-21,326.0,Actual,Actual Sales
S009,P003,weekly,2017-08-28,319.0,Actual,Actual Sales
S009,P003,weekly,2017-09-04,311.0,Actual,Actual Sales
S009,P003,weekly,2017-09-11,313.0,Actual,Actual Sales
S009,P003,weekly,2017-09-18,327.0,Actual,Actual Sales
S009,P003,weekly,2017-09-25,291.0,Actual,Actual Sales
S009,P003,weekly,2017-10-02,293.0,Actual,Actual Sales
S009,P003,weekly,2017-10-09,299.0,Actual,Actual Sales
S009,P003,weekly,2017-10-16,316.0,Actual,Actual Sales
S009,P003,weekly,2017-10-23,294.0,Actual,Actual Sales
S009,P003,weekly,2017-10-30,319.0,Actual,Actual Sales
S009,P003,weekly,2017-11-06,321.0,Actual,Actual Sales
S009,P003,weekly,2017-11-13,345.0,Actual,Actual Sales
S009,P003,weekly,2017-11-20,312.0,Actual,Actual Sales
S009,P003,weekly,2017-11-27,264.0,Actual,Actual Sales
S009,P003,weekly,2017-12-04,244.0,Actual,Actual Sales
S009,P003,weekly,2017-12-11,237.0,Actual,Actual Sales
S009,P003,weekly,2017-12-18,230.0,Actual,Actual Sales
S009,P003,weekly,2017-12-25,222.0,Actual,Actual Sales
S009,P003,weekly,2018-01-01,241.37,Forecast,Enhanced Ensemble
S009,P003,weekly,2018-01-08,242.62,Forecast,Enhanced Ensemble
S009,P003,weekly,2018-01-15,243.98,Forecast,Enhanced Ensemble
S009,P003,weekly,2018-01-22,243.29,Forecast,Enhanced Ensemble
S009,P003,weekly,2018-01-29,243.73,Forecast,Enhanced Ensemble
S009,P003,weekly,2018-02-05,253.49,Forecast,Enhanced Ensemble
S009,P003,weekly,2018-02-12,254.54,Forecast,Enhanced Ensemble
S009,P003,weekly,2018-02-19,249.84,Forecast,Enhanced Ensemble
S009,P004,weekly,2017-07-03,231.0,Actual,Actual Sales
S009,P004,weekly,2017-07-10,223.0,Actual,Actual Sales
S009,P004,weekly,2017-07-17,245.0,Actual,Actual Sales
S009,P004,weekly,2017-07-24,250.0,Actual,Actual Sales
S009,P004,weekly,2017-07-31,234.0,Actual,Actual Sales
S009,P004,weekly,2017-08-07,208.0,Actual,Actual Sales
S009,P004,weekly,2017-08-14,221.0,Actual,Actual Sales
S009,P004,weekly,2017-08-21,188.0,Actual,Actual Sales
S009,P004,weekly,2017-08-28,197.0,Actual,Actual Sales
S009,P004,weekly,2017-09-04,208.0,Actual,Actual Sales
S009,P004,weekly,2017-09-11,203.0,Actual,Actual Sales
S009,P004,weekly,2017-09-18,204.0,Actual,Actual Sales
S009,P004,weekly,2017-09-25,191.0,Actual,Actual Sales
S009,P004,weekly,2017-10-02,188.0,Actual,Actual Sales
S009,P004,weekly,2017-10-09,163.0,Actual,Actual Sales
S009,P004,weekly,2017-10-16,183.0,Actual,Actual Sales
S009,P004,weekly,2017-10-23,179.0,Actual,Actual Sales
S009,P004,weekly,2017-10-30,171.0,Actual,Actual Sales
S009,P004,weekly,2017-11-06,191.0,Actual,Actual Sales
S009,P004,weekly,2017-11-13,199.0,Actual,Actual Sales
S009,P004,weekly,2017-11-20,228.0,Actual,Actual Sales
S009,P004,weekly,2017-11-27,179.0,Actual,Actual Sales
S009,P004,weekly,2017-12-04,135.0,Actual,Actual Sales
S009,P004,weekly,2017-12-11,151.0,Actual,Actual Sales
S009,P004,weekly,2017-12-18,140.0,Actual,Actual Sales
S009,P004,weekly,2017-12-25,137.0,Actual,Actual Sales
S009,P004,weekly,2018-01-01,141.88,Forecast,Enhanced Ensemble
S009,P004,weekly,2018-01-08,140.35,Forecast,Enhanced Ensemble
S009,P004,weekly,2018-01-15,145.01,Forecast,Enhanced Ensemble
S009,P004,weekly,2018-01-22,141.62,Forecast,Enhanced Ensemble
S009,P004,weekly,2018-01-29,145.88,Forecast,Enhanced Ensemble
S009,P004,weekly,2018-02-05,146.48,Forecast,Enhanced Ensemble
S009,P004,weekly,2018-02-12,145.19,Forecast,Enhanced Ensemble
S009,P004,weekly,2018-02-19,145.18,Forecast,Enhanced Ensemble
S009,P005,weekly,2017-07-03,181.0,Actual,Actual Sales
S009,P005,weekly,2017-07-10,179.0,Actual,Actual Sales
S009,P005,weekly,2017-07-17,211.0,Actual,Actual Sales
S009,P005,weekly,2017-07-24,193.0,Actual,Actual Sales
S009,P005,weekly,2017-07-31,191.0,Actual,Actual Sales
S009,P005,weekly,2017-08-07,177.0,Actual,Actual Sales
S009,P005,weekly,2017-08-14,171.0,Actual,Actual Sales
S009,P005,weekly,2017-08-21,181.0,Actual,Actual Sales
S009,P005,weekly,2017-08-28,157.0,Actual,Actual Sales
S009,P005,weekly,2017-09-04,154.0,Actual,Actual Sales
S009,P005,weekly,2017-09-11,143.0,Actual,Actual Sales
S009,P005,weekly,2017-09-18,144.0,Actual,Actual Sales
S009,P005,weekly,2017-09-25,171.0,Actual,Actual Sales
S009,P005,weekly,2017-10-02,158.0,Actual,Actual Sales
S009,P005,weekly,2017-10-09,141.0,Actual,Actual Sales
S009,P005,weekly,2017-10-16,138.0,Actual,Actual Sales
S009,P005,weekly,2017-10-23,133.0,Actual,Actual Sales
S009,P005,weekly,2017-10-30,150.0,Actual,Actual Sales
S009,P005,weekly,2017-11-06,167.0,Actual,Actual Sales
S009,P005,weekly,2017-11-13,173.0,Actual,Actual Sales
S009,P005,weekly,2017-11-20,155.0,Actual,Actual Sales
S009,P005,weekly,2017-11-27,130.0,Actual,Actual Sales
S009,P005,weekly,2017-12-04,120.0,Actual,Actual Sales
S009,P005,weekly,2017-12-11,104.0,Actual,Actual Sales
S009,P005,weekly,2017-12-18,126.0,Actual,Actual Sales
S009,P005,weekly,2017-12-25,123.0,Actual,Actual Sales
S009,P005,weekly,2018-01-01,121.2,Forecast,Enhanced Ensemble
S009,P005,weekly,2018-01-08,123.12,Forecast,Enhanced Ensemble
S009,P005,weekly,2018-01-15,126.36,Forecast,Enhanced Ensemble
S009,P005,weekly,2018-01-22,126.49,Forecast,Enhanced Ensemble
S009,P005,weekly,2018-01-29,127.55,Forecast,Enhanced Ensemble
S009,P005,weekly,2018-02-05,129.6,Forecast,Enhanced Ensemble
S009,P005,weekly,2018-02-12,129.63,Forecast,Enhanced Ensemble
S009,P005,weekly,2018-02-19,129.46,Forecast,Enhanced Ensemble
S009,P006,weekly,2017-07-03,602.0,Actual,Actual Sales
S009,P006,weekly,2017-07-10,624.0,Actual,Actual Sales
S009,P006,weekly,2017-07-17,596.0,Actual,Actual Sales
S009,P006,weekly,2017-07-24,632.0,Actual,Actual Sales
S009,P006,weekly,2017-07-31,585.0,Actual,Actual Sales
S009,P006,weekly,2017-08-07,567.0,Actual,Actual Sales
S009,P006,weekly,2017-08-14,509.0,Actual,Actual Sales
S009,P006,weekly,2017-08-21,569.0,Actual,Actual Sales
S009,P006,weekly,2017-08-28,533.0,Actual,Actual Sales
S009,P006,weekly,2017-09-04,486.0,Actual,Actual Sales
S009,P006,weekly,2017-09-11,517.0,Actual,Actual Sales
S009,P006,weekly,2017-09-18,517.0,Actual,Actual Sales
S009,P006,weekly,2017-09-25,524.0,Actual,Actual Sales
S009,P006,weekly,2017-10-02,482.0,Actual,Actual Sales
S009,P006,weekly,2017-10-09,490.0,Actual,Actual Sales
S009,P006,weekly,2017-10-16,477.0,Actual,Actual Sales
S009,P006,weekly,2017-10-23,476.0,Actual,Actual Sales
S009,P006,weekly,2017-10-30,502.0,Actual,Actual Sales
S009,P006,weekly,2017-11-06,488.0,Actual,Actual Sales
S009,P006,weekly,2017-11-13,541.0,Actual,Actual Sales
S009,P006,weekly,2017-11-20,489.0,Actual,Actual Sales
S009,P006,weekly,2017-11-27,438.0,Actual,Actual Sales
S009,P006,weekly,2017-12-04,374.0,Actual,Actual Sales
S009,P006,weekly,2017-12-11,350.0,Actual,Actual Sales
S009,P006,weekly,2017-12-18,394.0,Actual,Actual Sales
S009,P006,weekly,2017-12-25,350.0,Actual,Actual Sales
S009,P006,weekly,2018-01-01,383.12,Forecast,Enhanced Ensemble
S009,P006,weekly,2018-01-08,377.65,Forecast,Enhanced Ensemble
S009,P006,weekly,2018-01-15,386.53,Forecast,Enhanced Ensemble
S009,P006,weekly,2018-01-22,388.08,Forecast,Enhanced Ensemble
S009,P006,weekly,2018-01-29,390.63,Forecast,Enhanced Ensemble
S009,P006,weekly,2018-02-05,393.55,Forecast,Enhanced Ensemble
S009,P006,weekly,2018-02-12,402.46,Forecast,Enhanced Ensemble
S009,P006,weekly,2018-02-19,404.5,Forecast,Enhanced Ensemble
S009,P007,weekly,2017-07-03,624.0,Actual,Actual Sales
S009,P007,weekly,2017-07-10,600.0,Actual,Actual Sales
S009,P007,weekly,2017-07-17,614.0,Actual,Actual Sales
S009,P007,weekly,2017-07-24,616.0,Actual,Actual Sales
S009,P007,weekly,2017-07-31,559.0,Actual,Actual Sales
S009,P007,weekly,2017-08-07,505.0,Actual,Actual Sales
S009,P007,weekly,2017-08-14,561.0,Actual,Actual Sales
S009,P007,weekly,2017-08-21,540.0,Actual,Actual Sales
S009,P007,weekly,2017-08-28,523.0,Actual,Actual Sales
S009,P007,weekly,2017-09-04,536.0,Actual,Actual Sales
S009,P007,weekly,2017-09-11,545.0,Actual,Actual Sales
S009,P007,weekly,2017-09-18,478.0,Actual,Actual Sales
S009,P007,weekly,2017-09-25,513.0,Actual,Actual Sales
S009,P007,weekly,2017-10-02,460.0,Actual,Actual Sales
S009,P007,weekly,2017-10-09,460.0,Actual,Actual Sales
S009,P007,weekly,2017-10-16,477.0,Actual,Actual Sales
S009,P007,weekly,2017-10-23,497.0,Actual,Actual Sales
S009,P007,weekly,2017-10-30,482.0,Actual,Actual Sales
S009,P007,weekly,2017-11-06,523.0,Actual,Actual Sales
S009,P007,weekly,2017-11-13,493.0,Actual,Actual Sales
S009,P007,weekly,2017-11-20,500.0,Actual,Actual Sales
S009,P007,weekly,2017-11-27,446.0,Actual,Actual Sales
S009,P007,weekly,2017-12-04,374.0,Actual,Actual Sales
S009,P007,weekly,2017-12-11,353.0,Actual,Actual Sales
S009,P007,weekly,2017-12-18,376.0,Actual,Actual Sales
S009,P007,weekly,2017-12-25,393.0,Actual,Actual Sales
S009,P007,weekly,2018-01-01,394.9,Forecast,Enhanced Ensemble
S009,P007,weekly,2018-01-08,393.83,Forecast,Enhanced Ensemble
S009,P007,weekly,2018-01-15,393.36,Forecast,Enhanced Ensemble
S009,P007,weekly,2018-01-22,391.89,Forecast,Enhanced Ensemble
S009,P007,weekly,2018-01-29,402.04,Forecast,Enhanced Ensemble
S009,P007,weekly,2018-02-05,403.8,Forecast,Enhanced Ensemble
S009,P007,weekly,2018-02-12,410.15,Forecast,Enhanced Ensemble
S009,P007,weekly,2018-02-19,415.8,Forecast,Enhanced Ensemble
S009,P008,weekly,2017-07-03,824.0,Actual,Actual Sales
S009,P008,weekly,2017-07-10,782.0,Actual,Actual Sales
S009,P008,weekly,2017-07-17,856.0,Actual,Actual Sales
S009,P008,weekly,2017-07-24,820.0,Actual,Actual Sales
S009,P008,weekly,2017-07-31,715.0,Actual,Actual Sales
S009,P008,weekly,2017-08-07,743.0,Actual,Actual Sales
S009,P008,weekly,2017-08-14,714.0,Actual,Actual Sales
S009,P008,weekly,2017-08-21,786.0,Actual,Actual Sales
S009,P008,weekly,2017-08-28,666.0,Actual,Actual Sales
S009,P008,weekly,2017-09-04,698.0,Actual,Actual Sales
S009,P008,weekly,2017-09-11,671.0,Actual,Actual Sales
S009,P008,weekly,2017-09-18,665.0,Actual,Actual Sales
